job_id,execution_time,source_system,dataset_name,pipeline_stage,file_format,target_storage_path,record_count,file_size_mb,duration_seconds,data_quality_score,job_status
JOB-0001,2026-08-02 10:00:00,Research_Repository,course_feedback,Silver_Cleaning,csv,s3://data-lake-cleaned/course_feedback/,209971,320.82,267.68,89.6,WARNING
JOB-0002,2026-08-02 10:00:00,ERP_Database,financial_transactions,Bronze_Ingestion,json,s3://data-lake-raw/financial_transactions/,87493,152.1,13.03,84.8,SUCCESS
JOB-0003,2026-08-02 19:00:00,HR_System,student_enrollments,Gold_Aggregation,json,s3://data-lake-curated/student_enrollments/,242546,370.6,168.13,85.7,SUCCESS
JOB-0004,2026-08-03 11:00:00,ERP_Database,financial_transactions,Bronze_Ingestion,parquet,s3://data-lake-raw/financial_transactions/,153383,245.75,175.72,92.8,SUCCESS
JOB-0005,2026-08-02 09:00:00,HR_System,student_enrollments,Gold_Aggregation,parquet,s3://data-lake-curated/student_enrollments/,71796,51.01,9.79,90.0,SUCCESS
JOB-0006,2026-08-03 06:00:00,HR_System,library_checkouts,Gold_Aggregation,avro,s3://data-lake-curated/library_checkouts/,62859,37.61,280.7,88.1,SUCCESS
JOB-0007,2026-08-02 19:00:00,Student_Portal,research_publications,Gold_Aggregation,avro,s3://data-lake-curated/research_publications/,177175,100.12,75.54,93.6,SUCCESS
JOB-0008,2026-08-03 23:00:00,HR_System,faculty_profiles,Gold_Aggregation,avro,s3://data-lake-curated/faculty_profiles/,234073,291.76,178.64,97.5,SUCCESS
JOB-0009,2026-08-02 08:00:00,LMS_Moodle,dotblue_prompt_logs,Bronze_Ingestion,json,s3://data-lake-raw/dotblue_prompt_logs/,75675,51.18,21.1,85.9,SUCCESS
JOB-0010,2026-08-02 10:00:00,HR_System,library_checkouts,Gold_Aggregation,avro,s3://data-lake-curated/library_checkouts/,173483,149.22,56.09,93.6,SUCCESS
JOB-0011,2026-08-03 14:00:00,Dotblue_Logs,research_publications,Silver_Cleaning,json,s3://data-lake-cleaned/research_publications/,44543,61.22,124.56,91.8,SUCCESS
JOB-0012,2026-08-02 23:00:00,Dotblue_Logs,course_feedback,Silver_Cleaning,csv,s3://data-lake-cleaned/course_feedback/,175783,292.07,309.16,91.1,SUCCESS
JOB-0013,2026-08-04 16:00:00,HR_System,system_access_audit,Silver_Cleaning,json,s3://data-lake-cleaned/system_access_audit/,130304,131.87,262.25,86.6,SUCCESS
JOB-0014,2026-08-03 05:00:00,ERP_Database,faculty_profiles,Silver_Cleaning,json,s3://data-lake-cleaned/faculty_profiles/,68480,63.88,51.4,86.9,WARNING
JOB-0015,2026-08-02 22:00:00,HR_System,dotblue_prompt_logs,Silver_Cleaning,parquet,s3://data-lake-cleaned/dotblue_prompt_logs/,237339,256.99,301.81,96.0,SUCCESS
JOB-0016,2026-08-03 07:00:00,HR_System,research_publications,Gold_Aggregation,csv,s3://data-lake-curated/research_publications/,56392,45.13,229.47,97.7,SUCCESS
JOB-0017,2026-08-04 01:00:00,Dotblue_Logs,research_publications,Gold_Aggregation,parquet,s3://data-lake-curated/research_publications/,72912,107.91,127.99,94.9,SUCCESS
JOB-0018,2026-08-03 08:00:00,ERP_Database,library_checkouts,Silver_Cleaning,json,s3://data-lake-cleaned/library_checkouts/,143854,76.96,177.65,93.4,SUCCESS
JOB-0019,2026-08-04 18:00:00,Research_Repository,student_enrollments,Silver_Cleaning,parquet,s3://data-lake-cleaned/student_enrollments/,212136,386.51,224.02,89.0,WARNING
JOB-0020,2026-08-05 03:00:00,HR_System,faculty_profiles,Bronze_Ingestion,json,s3://data-lake-raw/faculty_profiles/,240627,402.01,19.34,92.1,SUCCESS
JOB-0021,2026-08-03 17:00:00,Student_Portal,research_publications,Gold_Aggregation,json,s3://data-lake-curated/research_publications/,4621,8.75,167.91,99.2,SUCCESS
